,SPEAKER,SENTENCE,개체명,지식베이스,intent_cat
0,고객,"It's SongbaekdwaejiGukbap, right? I am planning to make a reservation for about ten people. When should I call in advance to let you know?","SongbaekdwaejiGukbap, 열 명, 예약, 언제, 전화","SongbaekdwaejiGukbap|상호, ten people|인원",예약_문의
1,고객,"It's NiwaBakery, right? Around March 25th, there is a meeting and I want to make a reservation inside, when should I do it?","NiwaBakery, 삼월 이십오일, 모임, 안쪽, 예약, 언제","NiwaBakery|상호, March 25th|예약일, inside|위치",예약_문의
2,고객,"It's CheonhaDonkkaseu, right? Do we need to make a reservation for five people?","CheonhaDonkkaseu, 다섯 명, 예약","CheonhaDonkkaseu|상호, five people|인원",예약_문의
3,고객,"It's Eunjiyakguk, right? If about ten people are going to have a company dinner, do we need to contact them in advance?","Eunjiyakguk, 열 명, 회식, 미리, 연락","Eunjiyakguk|상호, company dinner|행사, ten people|인원",예약_문의
4,고객,"It's Hanoimaekjubamgeoriguwoljeom, right? Can we do it on the same day?","Hanoimaekjubamgeoriguwoljeom, 당일 낮","Hanoimaekjubamgeoriguwoljeom|상호, on the same day|시간",예약_문의
5,고객,"It's Hoeori, right? Do I have to make a reservation to have dongtae tang?","Hoeori, 동태탕, 예약","Hoeori|상호, dongtae tang|메뉴",예약_문의
6,고객,"It's YennalsutbulseoksoeGui, right? Should I call the day before?","YennalsutbulseoksoeGui, 전날, 전화","YennalsutbulseoksoeGui|상호, the day before|날짜",예약_문의
7,고객,"It's RainHealingPibugwallisyap, right? How many people? About ten people, twelve people","RainHealingPibugwallisyap, 몇 명, 열 명, 열두 명, 정도","RainHealingPibugwallisyap|상호, ten people|예약인원, twelve people|예약인원",예약_문의
8,고객,"It's MallangnolliteoDoksan1Hojeom, right? Do I need to make a reservation in advance if I want to come here?","MallangnolliteoDoksan1Hojeom, 여기, 계추, 전화","MallangnolliteoDoksan1Hojeom|상호, reservation|행사",예약_문의
9,고객,"It's KiriseupibugwalliDaegubeomeojeom, right? Do all four of you need to make a reservation?","KiriseupibugwalliDaegubeomeojeom, 네 명, 예약","KiriseupibugwalliDaegubeomeojeom|상호, four people|인원",예약_문의
10,고객,"It's CALLsamgyeopsal, right? Do I need to make a reservation in advance when visiting here?","CALLsamgyeopsal, 여기, 계추, 미리, 전화, 예약","CALLsamgyeopsal|상호, reservation|행사",예약_문의
11,고객,"It's Arongbyeol, right? When you come here for acupuncture, do you need to let us know in advance?","Arongbyeol, 계추, 말씀","Arongbyeol|상호, acupuncture|행사",예약_문의
12,고객,"It's MirineBapsang, right? If you make a reservation, you should contact us in advance, right?","MirineBapsang, 계추, 연락","MirineBapsang|상호, reservation|행사",예약_문의
13,고객,"It's Uganesundae, right? Do you contact me the day before the day before?","Uganesundae, 전전날, 연락","Uganesundae|상호, the day before the day before|날짜",예약_문의
14,고객,"It's GwanggyoLakeAteuhol, right? Can I call on the same day?","GwanggyoLakeAteuhol, 당일, 전화","GwanggyoLakeAteuhol|상호, same day|날짜",예약_문의
15,고객,"It's RiberoHotelHansikDang, right? Do you take group orders for kimbap?","RiberoHotelHansikDang, 김밥, 단체, 주문","RiberoHotelHansikDang|상호, kimbap|메뉴",예약_문의
16,고객,"It's Inoheeosenseu, right? Do I have to order about thirty rolls of kimbap the day before?","Inoheeosenseu, 김밥, 이삼십 줄, 정도, 주문, 전날 주문","Inoheeosenseu|상호, kimbap|메뉴, thirty rolls|수량, the day before|날짜",예약_문의
17,고객,"It's 1001AngyeongkontaekteuPohangyangdeokjeom, right? Do I have to make a reservation in advance?","1001AngyeongkontaekteuPohangyangdeokjeom, 계추, 연락","1001AngyeongkontaekteuPohangyangdeokjeom|상호, reservation|행사",예약_문의
18,고객,"It's Balkonisangjeom, right? During the day, if about two or three people come, should we make a reservation in advance?","Balkonisangjeom, 낮, 둘, 세명, 미리, 예약","Balkonisangjeom|상호, day|시간, two or three people|인원",예약_문의
19,고객,"It's Gyeongseongyangpum, right? To make a reservation for ten people, should I call ahead?","Gyeongseongyangpum, 열명, 계초, 미리, 전화","Gyeongseongyangpum|상호, ten people|인원, reservation|행사",예약_문의
20,고객,"It's Duitraep, right? To come here for crab, you need about ten people, and you have to make a reservation in advance, right?","Duitraep, 계추, 열명, 미리, 예약","Duitraep|상호, ten people|인원",예약_문의
