,SPEAKER,SENTENCE,개체명,지식베이스,intent_cat
0,고객,ソンベクトゥェジクッパプですよね？ 十人様程度のご予約を予定しております。事前にいつ連絡すればよいですか?,"SongbaekdwaejiGukbap, 열 명, 예약, 언제, 전화","ソンベクトゥエジクッパプ|상호, 十人|인원",예약_문의
0,고객,ニワベーカリーですよね？ 3月25日頃、ミーティングがあるので、中で予約したいんですが、いつすればいいですか？,"NiwaBakery, 삼월 이십오일, 모임, 안쪽, 예약, 언제","ニワベーカリー|상호, 3月25日|예약일, 中|위치",예약_문의
0,고객,ﾎﾟﾛﾄｺｯｶﾙですよね？ 五人様の予約は必要ですか?,"CheonhaDonkkaseu, 다섯 명, 예약","ﾎﾟﾛﾄｺｯｶﾙ|상호, 五人|인원",예약_문의
0,고객,"ウンジヤクグですよね？およそ十人の会社の夕食を食べる予定ですが、事前に連絡する必要がありますか？', ","Eunjiyakguk, 열 명, 회식, 미리, 연락","ウンジヤクグ|상호, 会社の夕食|행사, 十人|인원",예약_문의
0,고객,ハノイマエクジュバムゲオリグウォルジョムですよね？ 同じ日にできますか?,"Hanoimaekjubamgeoriguwoljeom, 당일 낮","ハノイマエクジュバムゲオリグウォルジョム|상호, 同じ日|시간",예약_문의
0,고객,ホエリですよね？ 冬台タンを注文するには予約をしなければなりませんか?,"Hoeori, 동태탕, 예약","ホエリ|상호, 冬台タン|메뉴",예약_문의
0,고객,イェンナルスブルソクソエグイですよね？ 前日に電話すべきですか?,"YennalsutbulseoksoeGui, 전날, 전화","イェンナルスブルソクソエグイ|상호, 前日|날짜",예약_문의
0,고객,レインヒーリングピブグワルリシアップですよね？ 十人様、十二人様ぐらいですか',"RainHealingPibugwallisyap, 몇 명, 열 명, 열두 명, 정도","レインヒーリングピブグワルリシアップ|상호, 十人|예약인원, 十二人|예약인원",예약_문의
0,고객,マランノリテオドクサン1ホジョンですよね？ ここに来たい場合、事前に予約する必要がありますか?,"MallangnolliteoDoksan1Hojeom, 여기, 계추, 전화","マランノリテオドクサン1ホジョン|상호, 予約|행사",예약_문의
0,고객,キリスエピブッガウォリダグブオメオジョムですよね？ 四人様全員が予約をする必要がありますか？,"KiriseupibugwalliDaegubeomeojeom, 네 명, 예약","キリスエピブッガウォリダグブオメオジョム|상호, 四人|인원",예약_문의
0,고객,コールサムギョプサルですよね？ ここを訪れる際、事前に予約をする必要がありますか？',"CALLsamgyeopsal, 여기, 계추, 미리, 전화, 예약","コールサムギョプサル|상호, 予約|행사",예약_문의
0,고객,アロンギョルですよね？ ここに鍼治療を受けに来るときは、事前に知らせる必要がありますか？,"Arongbyeol, 계추, 말씀","アロンギョル|상호, 鍼治療|행사",예약_문의
0,고객,ミリン韓国料理ですよね？ 予約をしたいのですが、事前に連絡すべきですよね?,"MirineBapsang, 계추, 연락","ミリン韓国料理|상호, 予約|행사",예약_문의
0,고객,ウガネスンデですよね？ 二日前の前日に連絡してくれるんですか?,"Uganesundae, 전전날, 연락","ウガネスンデ|상호, 二日前の前日|날짜",예약_문의
0,고객,グァンギョレイクアトゥホルですよね？ 同日に予約しても大丈夫ですか？,"GwanggyoLakeAteuhol, 당일, 전화","グァンギョレイクアトゥホル|상호, 同日|날짜",예약_문의
0,고객,リベロホテルハンシックダンですよね？ キンバプのグループ注文を受け付けていますか?,"RiberoHotelHansikDang, 김밥, 단체, 주문","リベロホテルハンシックダン|상호, キンバプ|메뉴",예약_문의
0,고객,イノヒーオセンセウですよね？ 前日に何本くらいのキンパプを注文すればいいですか？,"Inoheeosenseu, 김밥, 이삼십 줄, 정도, 주문, 전날 주문","イノヒーオセンセウ|상호, キンパプ|메뉴, 何本|수량, 前日|날짜",예약_문의
0,고객,1001アンギョンコンタクトポハンヤンデオクジョムですよね？ 事前に予約をしなければいけませんか？,"1001AngyeongkontaekteuPohangyangdeokjeom, 계추, 연락","1001アンギョンコンタクトポハンヤンデオクジョム|상호, 予約|행사",예약_문의
0,고객,バルコニサンジョムですよね？ 昼間に2〜3人程度来る場合、事前に予約した方がよろしいでしょうか？,"Balkonisangjeom, 낮, 둘, 세명, 미리, 예약","バルコニサンジョム|상호, 昼間|시간, 2〜3人|인원",예약_문의
0,고객,ディットレープですよね？ 蟹を食べに来るには、十人程度必要で、事前に予約を入れる必要がありますよね？,"Duitraep, 계추, 열명, 미리, 예약","ディットレープ|상호, 十人|인원",예약_문의
0,고객,ファーソヒョゲッソ2ですよね？ 5-6人程度の予約をしましたが、席は大丈夫ですか？,"Hwaseohyugeso2, 5~6명, 예약, 자리","ファーソヒョゲッソ2|상호, 5-6人|인원",예약_문의
0,고객,ラギョンミョンシルですよね？ ご予約をお試しいただいております。空室はございますか?,"Ragyeongmiyongsil, 예약, 방","ラギョンミョンシル|상호, 空室|장소",예약_문의
