,SPEAKER,SENTENCE,개체명,지식베이스,intent_cat
0,고객,是松柏汤饭吧？我打算预订十人左右。我什么时候应该提前打电话通知您？,"SongbaekdwaejiGukbap, 열 명, 예약, 언제, 전화","松柏汤饭|상호, 十人|인원",예약_문의
0,고객,是Niwa面包店吧？大约在3月25日有一个会议，我想在里面预订，我应该什么时候做呢？,"NiwaBakery, 삼월 이십오일, 모임, 안쪽, 예약, 언제","Niwa面包店|상호, 3月25日|예약일, 里面|위치",예약_문의
0,고객,是千禾猪排吗？我们需要为五个人预订吗？,"CheonhaDonkkaseu, 다섯 명, 예약","千禾猪排|상호, 五个人|인원",예약_문의
0,고객,是Eunjiyakguk吧？如果大约十个人要举行公司晚宴，我们需要提前联系他们吗？,"Eunjiyakguk, 열 명, 회식, 미리, 연락","Eunjiyakguk|상호, 公司晚宴|행사, 十个人|인원",예약_문의
0,고객,是哈诺伊麦居巴默哥里乌沃尔济奥姆，对吗？我们能在同一天吗？,"Hanoimaekjubamgeoriguwoljeom, 당일 낮","哈诺伊麦居巴默哥里乌沃尔济奥姆|상호, 在同一天|시간",예약_문의
0,고객,是怀礼吗？我需要预定东太汤吗？,"Hoeori, 동태탕, 예약","怀礼|상호, 东太汤|메뉴",예약_문의
0,고객,是YennalsutbulseoksoeGui吧？我应该提前一天打电话吗？,"YennalsutbulseoksoeGui, 전날, 전화","YennalsutbulseoksoeGui|상호, 一天之前|날짜",예약_문의
0,고객,是RainHealingPibugwallisyap吗？大约十人，十二人左右,"RainHealingPibugwallisyap, 몇 명, 열 명, 열두 명, 정도","RainHealingPibugwallisyap|상호, 十人|예약인원, 十二人|예약인원",예약_문의
0,고객,是马朗诺利特多科桑1号站吧？我要来这里需要提前预订吗？,"MallangnolliteoDoksan1Hojeom, 여기, 계추, 전화","马朗诺利特多科桑1号站|상호, 预订|행사",예약_문의
0,고객,是麂丝批布格瓦利大骨部店吗？您四位都需要预订吗？,"KiriseupibugwalliDaegubeomeojeom, 네 명, 예약","麂丝批布格瓦利大骨部店|상호, 四位|인원",예약_문의
0,고객,是CALLsamgyeopsal吗？我来这里参观需要提前预订吗？,"CALLsamgyeopsal, 여기, 계추, 미리, 전화, 예약","CALLsamgyeopsal|상호, 预订|행사",예약_문의
0,고객,是阿容表吧？当你来这里看针灸时，需要提前告诉我们吗？,"Arongbyeol, 계추, 말씀","阿容表|상호, 针灸|행사",예약_문의
0,고객,是MirineBapsang吗？如果要预订，您应该提前与我们联系，对吧？,"MirineBapsang, 계추, 연락","MirineBapsang|상호, 预订|행사",예약_문의
0,고객,是乌加内顺大，对吧？前天之前那天联系我吗？,"Uganesundae, 전전날, 연락","乌加内顺大|상호, 前天之前那天|날짜",예약_문의
0,고객,是光孝湖艺术酒店吧？我可以当天预订吗？,"GwanggyoLakeAteuhol, 당일, 전화","光孝湖艺术酒店|상호, 当天|날짜",예약_문의
0,고객,是利贝罗韩食堂吗？你们接受简单的团体订单吗？,"RiberoHotelHansikDang, 김밥, 단체, 주문","利贝罗韩食堂|상호, 김밥|메뉴",예약_문의
0,고객,是Inoheeosenseu吧？我前一天要订大约三十卷的韩国海苔包饭吗？,"Inoheeosenseu, 김밥, 이삼십 줄, 정도, 주문, 전날 주문","Inoheeosenseu|상호, 韩国海苔包饭|메뉴, 三十卷|수량, 前一天|날짜",예약_문의
0,고객,是1001安경콘텍트포항양덕점，对吗？我需要提前预订吗？,"1001AngyeongkontaekteuPohangyangdeokjeom, 계추, 연락","1001安경콘텍트포항양덕점|상호, 预订|행사",예약_문의
0,고객,是Balkonisangjeom吗？白天的时候，如果来两到三个人，我们需要提前预订吗？,"Balkonisangjeom, 낮, 둘, 세명, 미리, 예약","Balkonisangjeom|상호, 白天|시간, 两到三个人|인원",예약_문의
0,고객,是Gyeongseongyangpum吗？要预订十人，我需要提前打电话吗？,"Gyeongseongyangpum, 열명, 계초, 미리, 전화","Gyeongseongyangpum|상호, 十人|인원, reservation|행사",예약_문의
0,고객,是Duitraep吧？为了来这里吃螃蟹，大概需要十个人，并且需要提前预订，对吧？,"Duitraep, 계추, 열명, 미리, 예약","Duitraep|상호, 十个人|인원",예약_문의
0,고객,是华瑟悠歌所2吧？我预约了大约5-6个人，座位没问题吧？,"Hwaseohyugeso2, 5~6명, 예약, 자리","华瑟悠歌所2|상호, 5-6个人|인원",예약_문의
0,고객,是拉경名室吧？我想预订。您有空房吗？,"Ragyeongmiyongsil, 예약, 방","拉경名室|상호, 空房|장소",예약_문의
0,고객,"是龙呀蹦雅养国记忆, 对吧？那我提前做三四个等你来电怎么样？","Ryugabongayonggokjeom, 세 개, 네 개, 미리, 전화","龙呀蹦雅养国记忆|상호, 三|수량, 四|수량",예약_문의
0,고객,是逸仙山牛排吧？我应该什么时候为五个人左右预订呢？,"IksanHillsKoteu, 5명, 예약","逸仙山牛排|상호, 五个人|인원",예약_문의
0,고객,是NatuurSuseoyeoksajeom吗？这个房间存在吗？我想预订,"NatuurSuseoyeoksajeom, 룸, 예약","NatuurSuseoyeoksajeom|상호, 房间|장소",예약_문의
0,고객,是厄鲁库瑞欧萨央呀？我可以点大约10份吗？,"Elkeuruheeosyap, 10인분, 주문","厄鲁库瑞欧萨央|상호, 10份|수량",예약_문의
